shopName,productName,price,oldPrice,discount,oz,zip,productLink,image
Safeway,"Darigold Whole Milk, Old Fashioned Chocolate",$5.19,N/A,10% off,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_739166581,https://www.instacart.com/assets/domains/product-image/file/large_7ed96ccc-b49c-4e72-93ba-fac81d18a5e8.jpg
Safeway,"Not Milk Milk Alternative, 2% Reduced Fat, Plant-Based",$5.19,N/A,10% off,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_88481170279,https://www.instacart.com/assets/domains/product-image/file/large_0f5d56c6-7301-49ed-80f3-5bb4f528f89b.png
Safeway,"a2 Milk Half and Half, Ultra-Pasteurized",$5.79,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_88733436714,https://www.instacart.com/assets/domains/product-image/file/large_de3838eb-5d82-43a2-a833-22f03df491ec.png
Safeway,"Not Milk Milk Alternative, Whole",$5.19,N/A,10% off,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_88481136538,https://www.instacart.com/assets/domains/product-image/file/large_75ede72e-33f0-48ac-98ef-77e99d9d47a8.png
Safeway,milkadamia Unsweetened,$6.39,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_3646679007,https://www.instacart.com/assets/domains/product-image/file/large_bf91bee6-ab79-4c33-bf24-80275d52dbc0.png
Safeway,milkadamia Lightly Sweetened,$6.39,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_3639631065,https://www.instacart.com/assets/domains/product-image/file/large_527e07d7-9175-4b7e-8a6a-08f5c2e85c64.png
Safeway,"Lucerne Milk, Reduced Fat, 2% Milkfat",$6.49,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182161228,https://www.instacart.com/assets/domains/product-image/file/large_36f385f2-6391-4f3c-b879-aedf80d4a29c.png
Safeway,"Lucerne Milk, Vitamin D, Ultra-Pasteurized",$2.29,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182371032,https://www.instacart.com/assets/domains/product-image/file/large_907af1d2-3776-42f1-bc63-5ded0695ff01.png
Safeway,"Lucerne Milk, Reduced Fat, 2% Milkfat",$2.29,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182381183,https://www.instacart.com/assets/domains/product-image/file/large_20540419-58b7-45ca-9817-d4cfb4867764.png
Safeway,"O Organics Milk, Organic, Reduced Fat, 2% Milkfat",$7.49,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182356453,https://www.instacart.com/assets/domains/product-image/file/large_d9e6ddef-148f-4d54-94ec-23efb35a6ddc.png
Safeway,Lucerne Dairy farms Milk,$6.49,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182151770,https://www.instacart.com/assets/domains/product-image/file/large_07319d98-f94a-4e0b-917e-25c2a4ee8ad5.png
Safeway,Horizon Organic Whole High Vitamin D Milk,$7.49,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182343272,https://www.instacart.com/assets/domains/product-image/file/large_f8cfc4fe-2011-4fc5-9144-5339f06e3222.jpg
Safeway,Horizon Organic Reduced Fat Milk,$7.49,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182337449,https://www.instacart.com/assets/domains/product-image/file/large_0d62f1b0-1e10-4744-9f59-c59ab3398be7.jpg
Safeway,Meyenberg Goat Milk,$7.49,N/A,14% off,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_182458087,https://www.instacart.com/assets/domains/product-image/file/large_d9b3278a-645b-4c1d-9f9e-96b6b09fdd97.png
Safeway,Califia Farms Original Protein Oat Milk,$5.19,N/A,31% off,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_3648201670,https://www.instacart.com/assets/domains/product-image/file/large_07a9d491-cb8c-4ef8-bb4a-1da6ff5f521a.png
Safeway,Califia Farms Toasted Coconut Almondmilk,$5.79,N/A,9% off,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_340431252,https://www.instacart.com/assets/domains/product-image/file/large_446c4dcf-1253-423c-b32b-940a73396cce.png
Costco,"Califia Farms Unsweetened Almondmilk, 2 x 48 fl oz",$7.20,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_1381593209,https://www.instacart.com/assets/domains/product-image/file/large_2b434133-04dc-45ea-9c56-1dc8d88e3fd5.jpg
Costco,"Silk Organic Unsweetened Almondmilk, 3 x 64 fl oz",$12.43,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_87220573997,https://www.instacart.com/assets/domains/product-image/file/large_f6832616-1997-4338-9d71-7477543c9f2d.jpg
Costco,"Silk Oatmilk, Original Extra Creamy, 3 x 64 fl oz",$10.31,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_3867955802,https://www.instacart.com/assets/domains/product-image/file/large_7d59e078-4626-4f2a-ab49-fc6f33c10a64.jpg
Costco,"Silk Organic Unsweetened Vanilla Almondmilk, 3 x 64 fl oz",$12.43,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_13011250,https://www.instacart.com/assets/domains/product-image/file/large_a1177ceb-2001-4df4-afd3-b791f921eab9.jpg
Costco,"Silk Organic Original Almondmilk, 3 x 64 fl oz",$12.43,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_24568962,https://www.instacart.com/assets/domains/product-image/file/large_626e8ed4-e6df-47c1-9a4a-1a750bd70bfc.jpg
Costco,"Silk Organic Vanilla Soymilk, 3 x 64 fl oz",$11.18,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_6354179,https://www.instacart.com/assets/domains/product-image/file/large_e914961d-2b75-4ff4-8977-34704f9ca1b6.jpg
Costco,"Kirkland Signature Homogenized Milk, 2 gal",$9.57,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_455013132,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b99b1e5a-fd32-4204-b79e-9f5cf7db7550.jpeg
Costco,"Kirkland Signature 2% Reduced Fat Milk, 2 x 1 gal",$8.94,N/A,N/A,N/A,Delivery to 94105,https://www.instacart.com/store/items/item_17273150681,https://www.instacart.com/assets/domains/product-image/file/large_1985e80f-b00f-4980-b0f6-bc7ff2e0df3b.jpg
