shopName,productName,price,oldPrice,discount,weight,zip,available,details,ingredients,productLink,image,nutration,photos,retrive_date
Sprouts Farmers Market,Neutral Organic Whole Milk,$3.99 ,$4.99 ,20% off,64 fl oz,94105,N/A,,"Ingredients: Organic Grade A Milk, Vitamin D3",https://www.instacart.comhttps://www.instacart.com/store/items/item_89549572033,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e227e8ec-9961-4844-876c-053945a702f3.png,"Nutrition Facts , Serving Size ,   , 1.00 cup , Servings Per Container ,   , 8 , Amount Per Serving , Calories ,  160 , % Daily Value , Total Fat ,  9g , 14% , daily value , Total Fat , Saturated Fat 5g , 25% , daily value , Total Fat , Trans Fat 0g , Cholesterol ,  35mg , 12% , daily value , Sodium ,  130mg , 5% , daily value , Total Carbohydrate ,  13g , 4% , daily value , Total Carbohydrate , Dietary Fiber 0g , 0% , daily value , Total Carbohydrate , Sugars 12g , Protein ,  9g , Percent Daily Values are based on a 2,000 calorie diet.",N/A,18:49.2
Sprouts Farmers Market,Neutral Organic 2% Milkfat Reduced Fat Milk,$3.99 ,$4.99 ,20% off,64 fl oz,94105,N/A,,"Ingredients: Organic Grade A Reduced Fat Milk, Organic Fat Free Milk, Vitamin A Palmitate, Vitamin D3",https://www.instacart.comhttps://www.instacart.com/store/items/item_91081347370,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_049f1fab-75ed-493c-b966-0d5e0a74cfdc.png,"Nutrition Facts , Serving Size ,   , 1.00 cup , Servings Per Container ,   , 8 , Amount Per Serving , Calories ,  140 , % Daily Value , Total Fat ,  5g , 8% , daily value , Total Fat , Saturated Fat 3g , 15% , daily value , Total Fat , Trans Fat 0g , Cholesterol ,  25mg , 8% , daily value , Sodium ,  150mg , 6% , daily value , Total Carbohydrate ,  15g , 5% , daily value , Total Carbohydrate , Dietary Fiber 0g , 0% , daily value , Total Carbohydrate , Sugars 14g , Protein ,  10g , Percent Daily Values are based on a 2,000 calorie diet.",N/A,19:24.7
Sprouts Farmers Market,a2 Milk Vitamin D Whole Milk,$4.99 ,N/A,N/A,59 fl oz,94105,N/A,"The a2 Milk Company™ Whole Milk. A grade A, ultra-pasteurized, 100% real milk. This a2 Milk is naturally occuring cow's milk, just as nature intended, with added vitamin D. Our milk naturally contains only the pure A2 protein, which may help take away any discomfort you feel from milk and it is easy to digest. We take great care to bring you milk naturally free from the A1 protein from cow to cup. It contains no antibiotics or added growth hormones in our milk.","Ingredients: Milk, Vitamin D3",https://www.instacart.comhttps://www.instacart.com/store/items/item_155694270,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_db2ac56a-57b7-48e1-b51d-ffc9cba433ad.png,"Nutrition Facts , Serving Size ,   , 1.00 Cup , Servings Per Container ,   , 7 , Amount Per Serving , Calories ,  160 , % Daily Value , Total Fat ,  9g , 14% , daily value , Total Fat , Saturated Fat 5g , 25% , daily value , Total Fat , Trans Fat 0g , Cholesterol ,  35mg , 12% , daily value , Sodium ,  130mg , 5% , daily value , Total Carbohydrate ,  13g , 4% , daily value , Total Carbohydrate , Dietary Fiber 0g , 0% , daily value , Total Carbohydrate , Sugars 12g , Protein ,  8g , Percent Daily Values are based on a 2,000 calorie diet.",N/A,20:05.6
Sprouts Farmers Market,Nutpods Original Barista Oat Milk Creamer,$4.99 ,$5.49 ,9% off,32 fl oz,94105,N/A,"You no longer have to be a barista to enjoy a foamy, creamy, dairy-free latte, cappuccino or macchiato. Nutpods Barista Oatmilk adds the creamy richness and frothability of dairy milk and the plant-based goodness of oats. And unlike most oatmilks, there is no added sugar (Not a low calorie food. See nutrition information for sugar and caloriecontent) - perfect for anyone trying to reduce sugar, calories or carbs. So whether you steam, froth or simply pour your way to a coffee-shop quality coffee drink, we hope you enjoy our extra frothy oatmilk. Happy Sipping, Madeline, mom and founder. Separation is natural. Carrageenan free. Please recycle. FSC: Mix - Board from responsible sources. www.fsc.org. Plant Pack (This Plant Pack contains FSC-certified carton board, and plant-based plastics that are certified via a mass balance system. For more info visit: nutpods.com).","Ingredients: Oatmilk (Water, Whole Oats), Erythritol, High Oleic Sunflower Oil. Contains Less Than 2% Of: Fava Bean Protein, Dipotassium Phosphate, Calcium Phosphate Natural Flavors, Sea Salt, Gellan Gum.",https://www.instacart.comhttps://www.instacart.com/store/items/item_76171541386,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b4a27c4d-2c28-4e2d-8387-0ecad51ae061.png,"Nutrition Facts , Serving Size ,   , 8.0 , Servings Per Container ,   , 4 , Amount Per Serving , Calories ,  70 , % Daily Value , Total Fat ,  5g , 8% , daily value , Total Fat , Saturated Fat 0.5g , 3% , daily value , Cholesterol ,  0mg , 0% , daily value , Sodium ,  55mg , 2% , daily value , Total Carbohydrate ,  10g , 3% , daily value , Total Carbohydrate , Dietary Fiber 1g , 4% , daily value , Total Carbohydrate , Sugars 0g , Protein ,  1g , Percent Daily Values are based on a 2,000 calorie diet.",N/A,20:25.3
Sprouts Farmers Market,Nutpods Cinnamon Dolce Barista Oat Milk Creamer,$4.99 ,$5.49 ,9% off,32 fl oz,94105,N/A,"You no longer have to be a barista to enjoy a foamy, creamy, dairy-free latte, cappuccino or macchiato. Nutpods Barista oatmilk adds the creamy richness and frothability of dairy milk and the plant-based goodness of oats. And unlike most oatmilks, there is no added sugar (Not a low calorie food. See nutrition information for sugar and calorie content) - perfect for anyone trying to reduce sugar, calories or carbs. So whether you steam, froth or simply pour your way to a coffee-shop quality coffee drink, we hope you enjoy our extra frothy oatmilk. Happy Sipping, Madeline mom and founder. Plant pack. Carrageenan free. Please recycle. FSC: Mix - Board from responsible sources. www.fsc.org. Plant Pack (This Plant Pack contains FSC-certified carton board, and plant-based plastics that are certified via a mass balance system. For more info visit: nutpods.com).","Ingredients: Oatmilk (Water, Whole Oats), Erythritol, High Oleic Sunflower Oil. Contains Less Than 2% Of: Fava Bean Protein, Dipotassium Phosphate, Calcium Phosphate, Cinnamon, Natural Flavors, Sea Salt, Gellan Gum, Stevia Leaf Extract.",https://www.instacart.comhttps://www.instacart.com/store/items/item_76171561337,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8d958c76-2f25-42c8-a6ea-74488e4dd8e3.png,"Nutrition Facts , Serving Size ,   , 8.00 fl oz , Servings Per Container ,   , 4 , Amount Per Serving , Calories ,  70 , % Daily Value , Total Fat ,  5g , 8% , daily value , Total Fat , Saturated Fat 0.5g , 3% , daily value , Total Fat , Trans Fat 0g , Cholesterol ,  0mg , 0% , daily value , Sodium ,  55mg , 2% , daily value , Total Carbohydrate ,  10g , 3% , daily value , Total Carbohydrate , Dietary Fiber 1g , 4% , daily value , Total Carbohydrate , Sugars 0g , Protein ,  1g , Percent Daily Values are based on a 2,000 calorie diet.",N/A,20:41.9
Sprouts Farmers Market,Organic Valley Organic Chocolate Lactose Free 1% Milk,$6.99 ,N/A,N/A,64 oz,94105,N/A,"Organic Valley Lactose Free 1% Lowfat Organic Chocolate Milk Provides Great Taste With No Artificial Sweeteners. This Lactose Free Chocolate Milk Contains All The Delicious Chocolatey Taste Your Kids Love And The Nutrition They Need, With 8 Grams Of Protein Per Serving And 20% Of The Recommended Daily Value Of Calcium. Organic Valley Ultra Pasteurized Milk Comes From Pasture-raised Cows That Are Raised Without Antibiotics, Synthetic Hormones, Toxic Pesticides Or GMO Anything. Use This Lowfat Milk To Make Protein-packed Milkshakes Or Smoothies, Or Simply Enjoy It On Its Own. Each Half Gallon Milk Carton Has A Convenient Twist Off Top, Making It Easy To Pour And Reseal.","Ingredients: Organic Grade A Lowfat Milk, Organic Unrefined Cane Sugar, Organic Cocoa (Processed With Alkali), Organic Natural Flavor, Salt, Lactase Enzyme, Gellan Gum, Vitamin A Palmitate, Vitamin D3.",https://www.instacart.comhttps://www.instacart.com/store/items/item_3436324533,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6a4113bc-7d8f-40e5-b4ab-efd2e405f4f3.png,"Nutrition Facts , Serving Size ,   , 1.00 cup , Servings Per Container ,   , 8 , Amount Per Serving , Calories ,  150 , % Daily Value , Total Fat ,  2.5g , 4% , daily value , Total Fat , Saturated Fat 1.5g , 8% , daily value , Total Fat , Trans Fat 0g , Total Fat , Polyunsaturated Fat 0g , Total Fat , Monounsaturated Fat 1g , Cholesterol ,  10mg , 3% , daily value , Sodium ,  200mg , 8% , daily value , Total Carbohydrate ,  22g , 7% , daily value , Total Carbohydrate , Dietary Fiber 0g , 0% , daily value , Total Carbohydrate , Sugars 21g , Protein ,  8g , Percent Daily Values are based on a 2,000 calorie diet.",N/A,20:57.5
Sprouts Farmers Market,RAW FARM Whole Raw Milk,$15.99 ,N/A,N/A,1 gal,94105,N/A,,Ingredients: Organic Whole Raw Milk,https://www.instacart.comhttps://www.instacart.com/store/items/item_155855896,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3f65e098-e8b4-43e9-8cff-264be96100a3.png,N/A,N/A,21:41.6
Sprouts Farmers Market,a2 Milk 2% Reduced Fat Milk,$4.99 ,N/A,N/A,59 fl oz,94105,N/A,"The A2 Milk Company 2% Reduced Fat Milk Is A Wholesome, Nutritious Milk, Made With Only A2 Type Protein Rather Than A1 And A2, Which Makes It Easier To Digest And May Reduce Digestive Discomfort. Independently Verified By The Validus Group To Ensure That Strict Animal Welfare Standards Have Been Met, This Ethically-sourced Milk Is Packed With Healthy, Essential Vitamins A And D. This Recyclable Carton Contains An Ample 59 Fl. Oz. Of Reduced Fat Milk.","Ingredients: Milk, Nonfat Milk, Vitamin A Palmitate, Vitamin D3",https://www.instacart.comhttps://www.instacart.com/store/items/item_155695580,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b3508a63-5fcb-413d-a5e7-a1bc6631258c.png,"Nutrition Facts , Serving Size ,   , 1.00 Cup , Servings Per Container ,   , 7 , Amount Per Serving , Calories ,  140 , % Daily Value , Total Fat ,  5g , 8% , daily value , Total Fat , Saturated Fat 3g , 15% , daily value , Total Fat , Trans Fat 0g , Cholesterol ,  20mg , 7% , daily value , Sodium ,  150mg , 6% , daily value , Total Carbohydrate ,  14g , 5% , daily value , Total Carbohydrate , Dietary Fiber 0g , 0% , daily value , Total Carbohydrate , Sugars 13g , Protein ,  10g , Percent Daily Values are based on a 2,000 calorie diet.",N/A,22:23.1
Sprouts Farmers Market,Sprouts 1% Lowfat Milk,$4.99 ,N/A,N/A,128 fl oz,94105,N/A,,"Ingredients: Low Fat Milk, Skim Milk, Vitamin  A Palmitate, Vitamin D3.",https://www.instacart.comhttps://www.instacart.com/store/items/item_159247674,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e50b40b8-1cd4-4334-84f7-b5dd7b69a273.png,"Nutrition Facts , Serving Size ,   , 1.00 cup , Servings Per Container ,   , 16 , Amount Per Serving , Calories ,  110 , % Daily Value , Total Fat ,  2.5g , 4% , daily value , Total Fat , Saturated Fat 1.5g , 8% , daily value , Total Fat , Trans Fat 0g , Cholesterol ,  10mg , 3% , daily value , Sodium ,  130mg , 5% , daily value , Total Carbohydrate ,  13g , 4% , daily value , Total Carbohydrate , Dietary Fiber 0g , 0% , daily value , Total Carbohydrate , Sugars 12g , Protein ,  8g , Percent Daily Values are based on a 2,000 calorie diet.",N/A,23:14.5
Sprouts Farmers Market,Sprouts Whole Milk,$4.99 ,N/A,N/A,128 fl oz,94105,N/A,,"Ingredients: Milk, Vitamin D3.",https://www.instacart.comhttps://www.instacart.com/store/items/item_159247990,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_78c63a95-23c5-4b96-a468-dc9252bdf11a.png,N/A,N/A,23:35.9
