shopName,productName,price,oldPrice,discount,weight,zip,details,ingredients,productLink,image,nutration,photos
Andronico's Community Markets,"Orgain Organic Plant Based Protein Almond Milk, Unsweetened, Soy Free",$5.99,N/A,N/A,32 oz,Delivery to 94105,"At Orgain we don’t do “watered down.” Our Organic Protein Almondmilk - Unsweetened Vanilla - is rich, creamy, and delicious. With 10g of organic, vegan protein in every serving, our almond milk serves up 10x the amount of protein of the leading brands! Not to mention it offers 20% of your daily Calcium and 15% of your vitamin D needs in every serving. And because we're serious about quality, this plant-based milk is made from certified organic almonds. Now that's good, clean nutrition. Enjoy our unsweetened organic almond milk anyway you like - in coffee, cereal, baking and cooking, or straight out of a glass! Go ahead - give it a try, and feel the difference of an almond-based milk that packs organic protein into every serving.","Organic Almondmilk (filtered Water, Organic Almonds), Organic Pea Protein, Organic Natural Flavors, Contains 1% Or Less Of The Following: Tricalcium Phosphate, Organic Rice Bran Extract, Tripotassium Citrate, Gellan Gum, Sea Salt, Organic Locust Bean Gum, Natural Flavor, Ergocalciferol (vitamin D2)",https://www.instacart.com/store/items/item_183338443,https://www.instacart.com/assets/domains/product-image/file/large_0fc52d09-a525-423b-9843-5de843f40f88.jpg,"Nutrition Facts | Serving Size |   | 1.00 cup | Servings Per Container |   | 4 | Amount Per Serving | Calories |  80 | % Daily Value | Total Fat |  3g | 5% | daily value | Total Fat | Saturated Fat 0g | 0% | daily value | Total Fat | Trans Fat 0g | Cholesterol |  0mg | 0% | daily value | Sodium |  220mg | 9% | daily value | Total Carbohydrate |  3g | 1% | daily value | Total Carbohydrate | Dietary Fiber 2g | 8% | daily value | Total Carbohydrate | Sugars 0g | Protein |  10g | Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_0fc52d09-a525-423b-9843-5de843f40f88.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_cf3e9e2d-cd8b-4a02-9f12-4df62ec8dcbb.jpg']"
Andronico's Community Markets,Straus Family Creamery  Organic Whole Milk - Cream Top,$11.49,N/A,N/A,3.78 L,Delivery to 94105,"Never ultra-pasteurized to ensure nutritional benefits and our award winning flavor.; Glass keeps milk colder, preserving our fresh flavor.",Pasteurized Organic Milk.,https://www.instacart.com/store/items/item_182695005,https://www.instacart.com/assets/domains/product-image/file/large_1cdcf056-189c-4849-84fa-6fd257470f3a.png,"Nutrition Facts | Serving Size |   | 1.00 cup | Servings Per Container |   | 16 | Amount Per Serving | Calories |  160 | % Daily Value | Total Fat |  9g | 14% | daily value | Total Fat | Saturated Fat 7g | 35% | daily value | Total Fat | Trans Fat 0g | Cholesterol |  45mg | 15% | daily value | Sodium |  75mg | 3% | daily value | Total Carbohydrate |  11g | 4% | daily value | Total Carbohydrate | Dietary Fiber 0g | 0% | daily value | Total Carbohydrate | Sugars 11g | Protein |  9g | Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_1cdcf056-189c-4849-84fa-6fd257470f3a.png', 'https://www.instacart.com/assets/domains/product-image/file/large_f5afd34e-3d2d-4c52-9ea2-894103fc1c03.png']"
Andronico's Community Markets,"a2 Milk Milk, Whole",$5.19,$6.39,19% off,59 fl oz,Delivery to 94105,The a2 Milk Company. Feel the difference. Naturally contains A2 protein (the a2 Milk difference). Easier on digestion. May help some avoid discomfort. From cows not treated with growth hormone rBST (no significant difference has been shown between milk from rBST-treated and non rBST-treated cows). 100% real milk. a2 Milk comes from cows that naturally produce only the natural A2 protein and no A1. Published research suggests a2 Milk may help avoid stomach discomfort in some people. We love our cows! Our cows are not treated with growth hormone rBST (no significant difference has been shown between milk from rBST-treated and non rBST-treated cows). True a2 pledge. Animal welfare review. ValidusCertified.com. Our farms are Validus certified for animal welfare. Please recycle. recyclecartons.com.,"Milk, Vitamin D3",https://www.instacart.com/store/items/item_183370712,https://www.instacart.com/assets/domains/product-image/file/large_18f2ea08-90a3-4efd-8cb7-775bed090ce0.png,"Nutrition Facts | Serving Size |   | 1.00 Cup | Servings Per Container |   | 7 | Amount Per Serving | Calories |  160 | % Daily Value | Total Fat |  9g | 14% | daily value | Total Fat | Saturated Fat 5g | 25% | daily value | Total Fat | Trans Fat 0g | Cholesterol |  35mg | 12% | daily value | Sodium |  130mg | 5% | daily value | Total Carbohydrate |  13g | 4% | daily value | Total Carbohydrate | Dietary Fiber 0g | 0% | daily value | Total Carbohydrate | Sugars 12g | Protein |  8g | Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_18f2ea08-90a3-4efd-8cb7-775bed090ce0.png', 'https://www.instacart.com/assets/domains/product-image/file/large_83dbe875-11a7-420a-80b8-4f38ef58f2f2.png']"
Andronico's Community Markets,Horizon Organic Lowfat Milk,$14.99,$19.59,23% off,8 fl oz,Delivery to 94105,"Take the organic goodness of Horizon milk on-the-go with Horizon Organic UHT 1% lowfat Plain Milk Boxes. Great as a lunchbox stuffer or snack, these single-serve milk boxes offer a wholesome alternative to juice boxes. Each milk box provides many nutrients, including vitamin A, vitamin D, and 8 grams of protein. And thanks to their special packaging, these shelf-stable milk boxes lock in delicious taste without refrigeration. • 1% lowfat plain milk in single-serve boxes • Shelf stable • Certified USDA Organic • Non-GMO • Provides calcium and vitamins A and D","Grade A Lowfat Organic Milk, Vitamin A Palmitate, Vitamin D3.",https://www.instacart.com/store/items/item_182645754,https://www.instacart.com/assets/domains/product-image/file/large_128966b0-8fe2-49c4-b9af-2249848176d1.jpg,"Nutrition Facts | Serving Size |   | 236.00 mL | Servings Per Container |   | 12 | Amount Per Serving | Calories |  110 | % Daily Value | Total Fat |  2.5g | 4% | daily value | Total Fat | Saturated Fat 1.5g | 8% | daily value | Total Fat | Trans Fat 0g | Total Fat | Polyunsaturated Fat 0g | Total Fat | Monounsaturated Fat 0.5g | Cholesterol |  10mg | 3% | daily value | Sodium |  130mg | 5% | daily value | Total Carbohydrate |  13g | 4% | daily value | Total Carbohydrate | Dietary Fiber 0g | 0% | daily value | Total Carbohydrate | Sugars 12g | Protein |  8g | Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_128966b0-8fe2-49c4-b9af-2249848176d1.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_20468623-a5f9-4d42-b6c9-27261c231717.jpg']"
Andronico's Community Markets,Horizon Organic Lowfat Milk,$12.69,N/A,N/A,8 fl oz,Delivery to 94105,"Take the organic goodness of Horizon milk on-the-go with Horizon Organic UHT 1% lowfat Plain Milk Boxes. Great as a lunchbox stuffer or snack, these single-serve milk boxes offer a wholesome alternative to juice boxes. Each milk box provides many nutrients, including vitamin A, vitamin D, and 8 grams of protein. And thanks to their special packaging, these shelf-stable milk boxes lock in delicious taste without refrigeration. • 1% lowfat plain milk in single-serve boxes • Shelf stable • Certified USDA Organic • Non-GMO • Provides calcium and vitamins A and D • 8g protein per box","Grade A Lowfat Organic Milk, Vitamin A Palmitate, Vitamin D3.",https://www.instacart.com/store/items/item_114369890986,https://www.instacart.com/assets/domains/product-image/file/large_1f951f3f-eeb3-4969-b8d0-bd46455e213e.jpg,"Nutrition Facts | Serving Size |   | 236.00 mL | Servings Per Container |   | 6 | Amount Per Serving | Calories |  110 | % Daily Value | Total Fat |  2.5g | 4% | daily value | Total Fat | Saturated Fat 1.5g | 8% | daily value | Total Fat | Trans Fat 0g | Total Fat | Polyunsaturated Fat 0g | Total Fat | Monounsaturated Fat 0.5g | Cholesterol |  10mg | 3% | daily value | Sodium |  130mg | 5% | daily value | Total Carbohydrate |  13g | 4% | daily value | Total Carbohydrate | Dietary Fiber 0g | 0% | daily value | Total Carbohydrate | Sugars 12g | Protein |  8g | Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_1f951f3f-eeb3-4969-b8d0-bd46455e213e.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_345ab381-030e-42c8-bd12-c0032b556fdb.jpg']"
Andronico's Community Markets,Horizon Organic ASEP Whole Milk,$14.99,$19.59,23% off,12 ct,Delivery to 94105,,,https://www.instacart.com/store/items/item_128030504191,https://d1s8987jlndkbs.cloudfront.net/assets/missing-item-4bbe82b8555e4d1c12626fd482cb2409713e8e30835645ff3650ef66a725d03c.png,N/A,N/A
Andronico's Community Markets,"Organic Pastures Raw Milk, Organic, Whole",$12.09,N/A,N/A,0.5 gal,Delivery to 94105,"From grass-grazed cows. Test & hold approved. Tested for safety. USDA Organic. Certified organic by Organic Certifiers, Inc. Venture, CA. Raw - Grade A. Non homogenized. Certified humane raised & handled. Milk from cows not treated with hormones or antibiotics. Family owned 1999. Bottles made with non toxic plastic: BPA, BPS, Bisphenol & phthalates free. www.organicpastures.com.",Organic Whole Raw Milk.,https://www.instacart.com/store/items/item_183492522,https://www.instacart.com/assets/domains/product-image/file/large_7dce5952-adb8-4bab-b4e9-08e48cf9c30a.png,"Nutrition Facts | Serving Size |   | 1.0 Cup | Servings Per Container |   | 8 | Amount Per Serving | Calories |  150 | % Daily Value | Total Fat |  8g | 12% | daily value | Total Fat | Saturated Fat 5g | 25% | daily value | Cholesterol |  30mg | 10% | daily value | Sodium |  105mg | 4% | daily value | Total Carbohydrate |  12g | 4% | daily value | Total Carbohydrate | Sugars 12g | Protein |  8g | Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_7dce5952-adb8-4bab-b4e9-08e48cf9c30a.png', 'https://www.instacart.com/assets/domains/product-image/file/large_aebaa3a1-465e-45cf-bb42-1deb7dde0ad4.png']"
Andronico's Community Markets,Straus Family Creamery  Organic Whole Milk - Cream Top,$11.49,N/A,N/A,3.78 L,Delivery to 94105,"Never ultra-pasteurized to ensure nutritional benefits and our award winning flavor.; Glass keeps milk colder, preserving our fresh flavor.",Pasteurized Organic Milk.,https://www.instacart.com/store/items/item_182695005,https://www.instacart.com/assets/domains/product-image/file/large_1cdcf056-189c-4849-84fa-6fd257470f3a.png,"Nutrition Facts | Serving Size |   | 1.00 cup | Servings Per Container |   | 16 | Amount Per Serving | Calories |  160 | % Daily Value | Total Fat |  9g | 14% | daily value | Total Fat | Saturated Fat 7g | 35% | daily value | Total Fat | Trans Fat 0g | Cholesterol |  45mg | 15% | daily value | Sodium |  75mg | 3% | daily value | Total Carbohydrate |  11g | 4% | daily value | Total Carbohydrate | Dietary Fiber 0g | 0% | daily value | Total Carbohydrate | Sugars 11g | Protein |  9g | Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_1cdcf056-189c-4849-84fa-6fd257470f3a.png', 'https://www.instacart.com/assets/domains/product-image/file/large_f5afd34e-3d2d-4c52-9ea2-894103fc1c03.png']"
Andronico's Community Markets,Lucerne Dairy farms Milk,$6.49,N/A,N/A,128 oz,Delivery to 94105,Grade A. Vitamin D. Pasteurized. Homogenized. From cows not treated with rbST (No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows). SmartLabel. Scan for more food information.,"Milk, Vitamin D3.",https://www.instacart.com/store/items/item_182149334,https://www.instacart.com/assets/domains/product-image/file/large_07319d98-f94a-4e0b-917e-25c2a4ee8ad5.png,"Nutrition Facts | Serving Size |   | 1.00 cup | Servings Per Container |   | About 16 | Amount Per Serving | Calories |  150 | % Daily Value | Total Fat |  8g | 12% | daily value | Total Fat | Saturated Fat 5g | 25% | daily value | Total Fat | Trans Fat 0g | Cholesterol |  35mg | 12% | daily value | Sodium |  120mg | 5% | daily value | Total Carbohydrate |  11g | 4% | daily value | Total Carbohydrate | Dietary Fiber 0g | 0% | daily value | Total Carbohydrate | Sugars 11g | Protein |  8g | Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_07319d98-f94a-4e0b-917e-25c2a4ee8ad5.png', 'https://www.instacart.com/assets/domains/product-image/file/large_92de73e4-cf2a-419e-88b8-2dcf78c6ee9e.png']"
Andronico's Community Markets,"Lucerne Milk, Vitamin D, Ultra-Pasteurized",$2.29,N/A,N/A,32 oz,Delivery to 94105,"From cows not treated with rBST (No significant difference has been shown between milk derived from rBST-treated and non-rBST-treated cows). Per Cup: 160 calories; 5 g sat fat (25% DV); 125 mg sodium (5% DV); 12 g total sugars. Grade A. homogenized. Since 1904. From Lucerne to Your Family: Lucerne has proudly provided American families with wholesome milk since it was established as a dairy farmers' cooperative over one hundred years ago in 1904. Our family of fine Lucerne dairy products also includes a wide variety of butter, cheese, yogurt and ice cream, all with the same attention to quality and great taste you can depend on Lucerne to deliver. From the farm to your family, Lucerne is your trusted choice. Pure-pak. Processed and packaged at plant stamped on container. When writing to us, please include manufacturer's code printed on the carton. 100% guaranteed. Quality & satisfaction or your money back. SmartLabel: Scan for more food information. Recyclable: Only where facilities exist. Visit recyclecartons.com to see if recyclable in your area.","Milk, Vitamin D3.",https://www.instacart.com/store/items/item_182254033,https://www.instacart.com/assets/domains/product-image/file/large_907af1d2-3776-42f1-bc63-5ded0695ff01.png,"Nutrition Facts | Serving Size |   | 1.00 cup | Servings Per Container |   | About 4 | Amount Per Serving | Calories |  150 | % Daily Value | Total Fat |  8g | 12% | daily value | Total Fat | Saturated Fat 5g | 25% | daily value | Total Fat | Trans Fat 0g | Cholesterol |  35mg | 12% | daily value | Sodium |  120mg | 5% | daily value | Total Carbohydrate |  12g | 4% | daily value | Total Carbohydrate | Dietary Fiber 0g | 0% | daily value | Total Carbohydrate | Sugars 11g | Protein |  8g | Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_907af1d2-3776-42f1-bc63-5ded0695ff01.png', 'https://www.instacart.com/assets/domains/product-image/file/large_c8ff53b2-4c64-4dd8-aa99-b167972ba84a.png']"
